feature,correct_mean,correct_std,incorrect_mean,incorrect_std,diff,diff_pct
experience_days,80.45517241379311,17.163826346881407,64.44736842105263,25.068228377145154,16.007803992740477,24.838568873956483
total_changes,0.0,0.0,0.0,0.0,0.0,0.0
total_reviews,35.86206896551724,52.63403797945763,8.842105263157896,38.089883962975584,27.01996370235934,305.582922820846
recent_activity_frequency,0.6786206896551724,0.9452584389414109,0.1473684210526315,0.3586453976535879,0.5312522686025409,360.49261059281866
avg_activity_gap,6.073572065233058,8.851907955681154,15.668746220358104,11.43740671641686,-9.595174155125047,-61.237663946570166
collaboration_score,0.0,0.0,0.0,0.0,0.0,0.0
code_quality_score,0.3,0.0,0.3000000000000001,1.1251260139334012e-16,-1.1102230246251565e-16,-3.700743414183606e-14
recent_acceptance_rate,0.5901026047755284,0.3169979357569113,0.2630298880685878,0.3358072842747846,0.32707271670694066,124.3481183770663
review_load,0.495459352519277,0.23629678265720613,0.5585530138839743,0.34126678843792774,-0.0630936613646973,-11.295912793428691
project_count,4.144827586206897,3.1884760168997395,1.605263157894737,1.3056938444224706,2.5395644283121594,158.20237421286944
cross_project_collaboration_score,0.9075424192665572,0.2818705497155194,0.5360902255639098,0.4805854221205937,0.37145219370264737,69.2891188684946
avg_action_intensity,0.1789826038356522,0.10064602780004607,0.22062183100762128,0.18513186305175022,-0.04163922717196908,-18.873575186517737
